Date,Close,Open,High,Low,Volume,Change
2011-08-15,2324.48,2320.62,2339.92,2306.24,32520000.000000004,-0.1697
2011-08-16,2323.67,2309.57,2323.67,2269.99,102980000.0,-0.0003
2011-08-17,2331.12,2313.37,2355.67,2281.88,88840000.0,0.0032
2011-08-18,2206.61,2313.16,2313.16,2177.29,130880000.0,-0.053399999999999996
2011-08-19,2159.07,2203.18,2203.18,2117.68,158300000.0,-0.0215
2011-08-22,2183.39,2148.0,2227.14,2140.32,99090000.0,0.0113
2011-08-23,2199.98,2199.9,2239.91,2173.79,95160000.0,0.0076
2011-08-24,2238.7,2209.12,2258.13,2191.74,84340000.0,0.0176
2011-08-25,2216.7,2251.86,2273.42,2197.38,113520000.0,-0.0098
2011-08-26,2190.44,2216.37,2220.34,2140.57,91720000.0,-0.0118
2011-08-29,2239.3,2208.62,2253.33,2208.62,51640000.0,0.0223
2011-08-30,2239.14,2252.2,2264.09,2216.31,72440000.0,-0.0001
2011-08-31,2302.08,2248.31,2314.87,2240.28,101990000.0,0.0281
2011-09-01,2305.75,2309.64,2326.78,2265.23,92400000.0,0.0016
2011-09-02,2220.72,2287.26,2287.26,2207.21,92480000.0,-0.0369
2011-09-05,2107.27,2191.17,2191.17,2092.71,104710000.0,-0.051100000000000007
2011-09-06,2080.1,2107.4,2138.61,2063.58,142400000.0,-0.0129
2011-09-07,2151.16,2106.18,2151.16,2106.18,94880000.0,0.0342
2011-09-08,2163.4,2148.86,2185.29,2131.36,94620000.0,0.005699999999999999
2011-09-09,2073.67,2154.2,2158.9,2069.64,111070000.0,-0.0415
2011-09-12,1995.01,2042.71,2042.71,1971.02,172490000.0,-0.0379
2011-09-13,2036.64,2016.93,2045.96,1948.65,164160000.0,0.0209
2011-09-14,2083.38,2017.35,2087.84,2007.87,139140000.0,0.0229
2011-09-15,2155.62,2091.5,2185.58,2091.5,139490000.0,0.0347
2011-09-16,2159.28,2172.73,2192.41,2145.89,208330000.0,0.0017000000000000001
2011-09-19,2096.1,2123.89,2123.89,2080.16,89610000.0,-0.029300000000000003
2011-09-20,2140.41,2084.48,2143.25,2076.68,100890000.0,0.021099999999999997
2011-09-21,2098.49,2138.21,2138.55,2093.89,92000000.0,-0.0196
2011-09-22,1995.75,2070.68,2070.68,1985.38,145180000.0,-0.049
2011-09-23,2026.03,2013.88,2027.73,1935.89,139840000.0,0.0152
2011-09-26,2083.35,2004.97,2116.13,1993.71,167790000.0,0.028300000000000002
2011-09-27,2194.03,2108.47,2194.43,2108.47,150000000.0,0.053099999999999994
2011-09-28,2176.64,2179.13,2221.12,2159.46,110350000.0,-0.0079
2011-09-29,2212.44,2168.2,2232.02,2162.17,124560000.0,0.016399999999999998
2011-09-30,2179.66,2204.93,2204.93,2153.27,107530000.0,-0.0148
2011-10-03,2138.24,2146.7,2153.9,2108.72,85210000.0,-0.019
2011-10-04,2091.09,2117.88,2117.88,2054.98,110800000.0,-0.022099999999999998
2011-10-05,2179.42,2118.75,2180.22,2115.38,100780000.0,0.042199999999999994
2011-10-06,2248.78,2191.07,2248.78,2188.76,126060000.0,0.0318
2011-10-07,2269.19,2248.48,2290.73,2237.36,118650000.0,0.0091
2011-10-10,2320.8,2288.16,2322.57,2267.94,104430000.0,0.0227
2011-10-11,2315.97,2315.29,2320.57,2285.63,148640000.0,-0.0021
2011-10-12,2372.15,2311.47,2378.92,2293.37,129960000.00000001,0.024300000000000002
2011-10-13,2332.52,2361.62,2384.41,2319.73,135380000.0,-0.0167
2011-10-14,2355.48,2339.65,2379.86,2320.55,123550000.0,0.0098
2011-10-17,2315.89,2368.79,2393.4,2303.01,106060000.0,-0.0168
2011-10-18,2306.81,2298.05,2314.01,2269.53,87770000.0,-0.0039000000000000003
2011-10-19,2330.08,2316.72,2345.12,2311.61,91750000.0,0.0101
2011-10-20,2271.77,2311.92,2324.77,2268.01,140280000.0,-0.025
2011-10-21,2337.51,2283.85,2340.81,2279.25,118880000.0,0.028900000000000002
2011-10-24,2369.07,2346.83,2372.25,2323.69,84150000.0,0.013500000000000002
2011-10-25,2343.96,2360.56,2375.17,2321.86,83600000.0,-0.0106
2011-10-26,2335.06,2342.73,2380.24,2316.62,88780000.0,-0.0038
2011-10-27,2476.92,2361.68,2482.92,2361.68,156300000.0,0.0608
2011-10-28,2462.36,2480.89,2506.22,2449.09,118690000.0,-0.0059
2011-10-31,2385.22,2443.68,2443.68,2385.22,88150000.0,-0.0313
2011-11-01,2259.73,2352.76,2352.76,2241.69,146050000.0,-0.0526
2011-11-02,2291.89,2278.7,2301.29,2240.16,120580000.0,0.014199999999999999
2011-11-03,2347.94,2254.53,2373.0,2238.16,151740000.0,0.0245
2011-11-04,2291.47,2355.96,2370.38,2278.75,119810000.0,-0.0241
2011-11-07,2275.92,2275.16,2307.18,2231.68,114590000.0,-0.0068000000000000005
2011-11-08,2303.2,2279.44,2347.25,2276.68,102000000.0,0.012
2011-11-09,2249.39,2318.95,2334.11,2225.75,145420000.0,-0.023399999999999997
2011-11-10,2254.92,2223.49,2291.31,2211.37,125690000.0,0.0025
2011-11-11,2324.81,2259.32,2329.54,2252.03,113330000.0,0.031
2011-11-14,2288.32,2333.27,2344.81,2273.83,111770000.0,-0.015700000000000002
2011-11-15,2254.0,2274.3,2281.45,2227.88,113810000.0,-0.015
2011-11-16,2267.96,2249.05,2299.11,2238.39,98940000.0,0.0062
2011-11-17,2242.78,2261.93,2270.83,2225.7,79840000.0,-0.0111
2011-11-18,2236.68,2233.3,2264.25,2220.27,82330000.0,-0.0027
2011-11-21,2160.28,2226.25,2226.25,2159.71,77980000.0,-0.0342
2011-11-22,2136.81,2172.52,2189.59,2136.81,75860000.0,-0.0109
