Date,Close,Open,High,Low,Volume,Change
2011-03-17,8282.69,8190.5,8282.69,8150.73,3050000.0,-0.005
2011-03-18,8394.75,8343.79,8399.17,8312.88,3090000.0,0.013500000000000002
2011-03-21,8467.71,8421.66,8508.2,8394.22,2460000.0,0.0087
2011-03-22,8508.04,8523.27,8552.82,8508.04,2780000.0,0.0048
2011-03-23,8545.08,8529.93,8551.12,8481.96,2470000.0,0.0044
2011-03-24,8576.4,8589.71,8603.43,8550.6,2430000.0,0.0037
2011-03-25,8610.39,8645.37,8658.05,8587.84,2450000.0,0.004
2011-03-28,8553.06,8587.99,8604.24,8549.26,1940000.0,-0.0067
2011-03-29,8596.57,8538.44,8596.57,8522.57,2210000.0,0.0051
2011-03-30,8646.31,8605.83,8671.59,8605.83,2540000.0,0.0058
2011-03-31,8683.3,8683.69,8685.44,8608.05,2410000.0,0.0043
2011-04-01,8705.13,8697.84,8705.13,8654.4,1910000.0,0.0025
2011-04-06,8851.98,8772.13,8860.02,8767.21,2990000.0,0.0169
2011-04-07,8901.72,8884.84,8901.72,8828.92,2640000.0,0.005600000000000001
2011-04-08,8894.54,8904.44,8929.06,8862.49,3120000.0,-0.0008
2011-04-11,8880.27,8922.75,8922.75,8836.38,2320000.0,-0.0016
2011-04-12,8732.59,8839.22,8839.22,8708.86,2300000.0,-0.0166
2011-04-13,8780.2,8727.95,8780.2,8700.08,2130000.0,0.0055000000000000005
2011-04-14,8802.73,8787.75,8835.39,8772.3,2280000.0,0.0026
2011-04-15,8718.12,8828.63,8834.07,8716.7,2370000.0,-0.0096
2011-04-18,8714.48,8752.56,8764.65,8703.11,2040000.0,-0.0004
2011-04-19,8638.55,8643.4,8658.97,8592.23,2230000.0,-0.0087
2011-04-20,8813.28,8704.48,8813.28,8698.97,2640000.0,0.0202
2011-04-21,8957.65,8893.07,8992.08,8892.06,3690000.0,0.016399999999999998
2011-04-22,8969.43,8980.43,8992.67,8956.07,2780000.0,0.0013
